OPERATEUR,CANONIQUE
Adam,Adam
Aidan,Aidan
Aissat,Aissat
Albert,Albert
Allard,Allard
Ammar Khodja,Ammar Khodja
Amory,Amory
Arapis,Arapis
Azoulay,Azoulay
Baron,Baron
Benedetti,Benedetti
"Benedetti, Lardinois","Benedetti, Lardinois"
Blanchet,Blanchet
Boicu,Boicu
Bouteloup,Bouteloup
Breton,Breton
Cabrit,Cabrit
Calmels,Calmels
Carteaux Taieb,Carteaux Taieb
Cattan,Cattan
Cherqui,Cherqui
Ciacio,Ciacio
Corleone,Corleone
Corte,Corte
Coton,Coton
Crespin,Crespin
Côme,Côme
Da Silva,Da Silva
Daho,Daho
Dhote,Dhote
Dubita,Dubita
Duclos,Duclos
Faermark,Faermark
Faul,Faul
Gaillard,Gaillard
Gaujoux,Gaujoux
Genser,Genser
Ghallab,Ghallab
Ghedira,Ghedira
Golse,Golse
Goumard,Goumard
Goéré,Goéré
Halimi,Halimi
Jeune,Jeune
Karoui,Karoui
Kuczma,Kuczma
Lardinois,Lardinois
Lartigau,Lartigau
Lazzati,Lazzati
Le Floc'h,Le Floc'h
Leconte,Leconte
Levenson,Levenson
Lim,Lim
Loukakos,Loukakos
M'Harzi,M'Harzi
Maggiori,Maggiori
Manceau,Manceau
Marchese,Marchese
Mariani,Mariani
Massault,Massault
Melot,Melot
Nassar,Nassar
Pancreac'h,Pancreac'h
Pantel,Pantel
Pautrat,Pautrat
Peloso,Peloso
Perdigao,Perdigao
Pietrasz,Pietrasz
Pittau,Pittau
Pocard,Pocard
Polliand,Polliand
Puygrenier,Puygrenier
Ragot,Ragot
Rebibo,Rebibo
Rifai,Rifai
Robin,Robin
Romanelli,Romanelli
Rousseau,Rousseau
Sa Cunha,Sa Cunha
Salloum,Salloum
Sarfati,Sarfati
Savier,Savier
Scatton,Scatton
Sesmun,Sesmun
Smits,Smits
Tarhini,Tarhini
Torcivia,Torcivia
Tresallet,Tresallet
Triantafyllou,Triantafyllou
Triki,Triki
Tzedakis,Tzedakis
Vibert,Vibert
